top - 14:41:15 up 766 days, 17:32, 12 users,  load average: 0.04, 0.04, 0.01
Tasks: 250 total,   1 running, 225 sleeping,  24 stopped,   0 zombie
Cpu(s):  1.2%us,  1.2%sy,  0.0%ni, 97.3%id,  0.2%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:  12292116k total,  5079644k used,  7212472k free,    80648k buffers
Swap: 14346036k total,  2415116k used, 11930920k free,  3138208k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                                                                                                                                                                        
  288 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 kseriod                                                                                                                                                                                                                                                        
  413 root      15   0     0    0    0 S  0.0  0.0   0:00.00 khungtaskd                                                                                                                                                                                                                                                     
  416 root      10  -5     0    0    0 S  0.0  0.0  82:49.08 kswapd0                                                                                                                                                                                                                                                        
  417 root      10  -5     0    0    0 S  0.0  0.0  72:33.09 kswapd1                                                                                                                                                                                                                                                        
  418 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 aio/0                                                                                                                                                                                                                                                          
  419 root      16  -5     0    0    0 S  0.0  0.0   0:00.00 aio/1                                                                                                                                                                                                                                                          
  420 root      16  -5     0    0    0 S  0.0  0.0   0:00.00 aio/2                                                                                                                                                                                                                                                          
  421 root      16  -5     0    0    0 S  0.0  0.0   0:00.00 aio/3                                                                                                                                                                                                                                                          
  422 root      16  -5     0    0    0 S  0.0  0.0   0:00.00 aio/4                                                                                                                                                                                                                                                          
  423 root      16  -5     0    0    0 S  0.0  0.0   0:00.00 aio/5                                                                                                                                                                                                                                                          
  424 root      16  -5     0    0    0 S  0.0  0.0   0:00.00 aio/6                                                                                                                                                                                                                                                          
  425 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 aio/7                                                                                                                                                                                                                                                          
  577 root      12  -5     0    0    0 S  0.0  0.0   0:00.00 kpsmoused                                                                                                                                                                                                                                                      
  655 root      13  -5     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_0                                                                                                                                                                                                                                                      
  656 root      11  -5     0    0    0 S  0.0  0.0   0:00.00 megasas_ocr/0                                                                                                                                                                                                                                                  
  657 root      13  -5     0    0    0 S  0.0  0.0   0:00.00 megasas_ocr/1                                                                                                                                                                                                                                                  
  658 root      13  -5     0    0    0 S  0.0  0.0   0:00.00 megasas_ocr/2                                                                                                                                                                                                                                                  
  659 root      13  -5     0    0    0 S  0.0  0.0   0:00.00 megasas_ocr/3                                                                                                                                                                                                                                                  
  660 root      13  -5     0    0    0 S  0.0  0.0   0:00.00 megasas_ocr/4                                                                                                                                                                                                                                                  
  661 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 megasas_ocr/5                                                                                                                                                                                                                                                  
  662 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 megasas_ocr/6                                                                                                                                                                                                                                                  
  663 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 megasas_ocr/7                                                                                                                                                                                                                                                  
  682 root      10  -5     0    0    0 S  0.0  0.0   0:44.82 ata/0                                                                                                                                                                                                                                                          
  683 root      10  -5     0    0    0 S  0.0  0.0   7:13.83 ata/1                                                                                                                                                                                                                                                          
  684 root      10  -5     0    0    0 S  0.0  0.0 195:39.68 ata/2                                                                                                                                                                                                                                                          
  685 root      10  -5     0    0    0 S  0.0  0.0   1:25.03 ata/3                                                                                                                                                                                                                                                          
  686 root      10  -5     0    0    0 S  0.0  0.0  55:45.89 ata/4                                                                                                                                                                                                                                                          
  687 root      10  -5     0    0    0 S  0.0  0.0   0:45.91 ata/5                                                                                                                                                                                                                                                          
  688 root      10  -5     0    0    0 S  0.0  0.0  25:08.72 ata/6                                                                                                                                                                                                                                                          
  689 root      10  -5     0    0    0 S  0.0  0.0   0:35.67 ata/7                                                                                                                                                                                                                                                          
  690 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 ata_aux                                                                                                                                                                                                                                                        
  700 root      10  -5     0    0    0 S  0.0  0.0 147:52.42 scsi_eh_1                                                                                                                                                                                                                                                      
  701 root      12  -5     0    0    0 S  0.0  0.0   0:00.00 scsi_eh_2                                                                                                                                                                                                                                                      
  720 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 kstriped                                                                                                                                                                                                                                                       
  757 root      10  -5     0    0    0 S  0.0  0.0  10:54.83 kjournald                                                                                                                                                                                                                                                      
  785 root      11  -5     0    0    0 S  0.0  0.0   0:00.00 kauditd                                                                                                                                                                                                                                                        
  819 root      15  -4 13032   16   12 S  0.0  0.0   0:00.12 udevd                                                                                                                                                                                                                                                          
 1423 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 kedac                                                                                                                                                                                                                                                          
 2342 root      20  -5     0    0    0 S  0.0  0.0   0:00.00 kmpathd/0                                                                                                                                                                                                                                                      
 2343 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 kmpathd/1                                                                                                                                                                                                                                                      
 2344 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 kmpathd/2                                                                                                                                                                                                                                                      
 2345 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 kmpathd/3                                                                                                                                                                                                                                                      
 2346 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 kmpathd/4                                                                                                                                                                                                                                                      
 2347 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 kmpathd/5                                                                                                                                                                                                                                                      
 2348 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 kmpathd/6                                                                                                                                                                                                                                                      
 2349 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 kmpathd/7                                                                                                                                                                                                                                                      
 2350 root      20  -5     0    0    0 S  0.0  0.0   0:00.00 kmpath_handlerd                                                                                                                                                                                                                                                
 2460 root      10  -5     0    0    0 S  0.0  0.0   0:09.91 kjournald                                                                                                                                                                                                                                                      
 2462 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 kjournald                                                                                                                                                                                                                                                      
 2679 root      15  -5     0    0    0 S  0.0  0.0   0:00.00 iscsi_eh                                                                                                                                                                                                                                                       
 2719 root      10  -5     0    0    0 S  0.0  0.0   0:00.10 ib_addr                                                                                                                                                                                                                                                        
 2747 root      20  -5     0    0    0 S  0.0  0.0   0:00.00 ib_mcast                                                                                                                                                                                                                                                       
 2748 root      20  -5     0    0    0 S  0.0  0.0   0:00.00 ib_inform                                                                                                                                                                                                                                                      
 2749 root      20  -5     0    0    0 S  0.0  0.0   0:00.00 local_sa                                                                                                                                                                                                                                                       
 2759 root      20  -5     0    0    0 S  0.0  0.0   0:00.00 iw_cm_wq                                                                                                                                                                                                                                                       
 2769 root      20  -5     0    0    0 S  0.0  0.0   0:00.00 ib_cm/0                                                                                                                                                                                                                                                        
 2770 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 ib_cm/1                                                                                                                                                                                                                                                        
 2771 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 ib_cm/2                                                                                                                                                                                                                                                        
 2772 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 ib_cm/3                                                                                                                                                                                                                                                        
 2773 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 ib_cm/4                                                                                                                                                                                                                                                        
 2774 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 ib_cm/5                                                                                                                                                                                                                                                        
 2775 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 ib_cm/6                                                                                                                                                                                                                                                        
 2776 root      10  -5     0    0    0 S  0.0  0.0   0:00.00 ib_cm/7                                                                                                                                                                                                                                                        
 2786 root      20  -5     0    0    0 S  0.0  0.0   0:00.00 rdma_cm                                                                                                                                                                                                                                                        
 2800 root      18   0  3980  352  332 S  0.0  0.0   0:00.27 iscsid                                                                                                                                                                                                                                                         
 2801 root       5 -10  3984 1932 1656 S  0.0  0.0   0:00.00 iscsid                                                                                                                                                                                                                                                         
 2891 root      17   0     0    0    0 S  0.0  0.0   0:15.96 pdflush                                                                                                                                                                                                                                                        
 3029 root      10  -5     0    0    0 S  0.0  0.0   0:00.03 bond0                                                                                                                                                                                                                                                          
 3212 rivase    19   0 33500  688  684 T  0.0  0.0   0:01.83 ehmmsearch                                                                                                                                                                                                                                                     
 3337 root      15   0  6756  528  384 S  0.0  0.0   0:00.57 dhclient                                                                                                                                                                                                                                                       
 3349 root      15   0  103m 4596 3472 S  0.0  0.0   0:00.02 sshd                                                                                                                                                                                                                                                           
 3351 nawrocki  15   0  104m 2520 1344 S  0.0  0.0   0:00.81 sshd                                                                                                                                                                                                                                                           
 3352 nawrocki  15   0 86872 2824 1976 S  0.0  0.0   0:00.08 bash                                                                                                                                                                                                                                                           
 3429 root      18   0 10744  308  232 S  0.0  0.0   9:20.34 irqbalance                                                                                                                                                                                                                                                     
 3468 rpc       15   0  8064  472  468 S  0.0  0.0   0:04.59 portmap                                                                                                                                                                                                                                                        
 3521 root      10  -5     0    0    0 S  0.0  0.0   3:41.64 rpciod/0                                                                                                                                                                                                                                                       
 3522 root      10  -5     0    0    0 S  0.0  0.0  20:49.19 rpciod/1                                                                                                                                                                                                                                                       
 3523 root      10  -5     0    0    0 S  0.0  0.0  81:47.00 rpciod/2                                                                                                                                                                                                                                                       
 3524 root      10  -5     0    0    0 S  0.0  0.0  32:13.73 rpciod/3                                                                                                                                                                                                                                                       
 3525 root      10  -5     0    0    0 S  0.0  0.0 135:45.25 rpciod/4                                                                                                                                                                                                                                                       
 3526 root      10  -5     0    0    0 S  0.0  0.0 106:51.40 rpciod/5                                                                                                                                                                                                                                                       
 3527 root      10  -5     0    0    0 S  0.0  0.0 116:16.10 rpciod/6                                                                                                                                                                                                                                                       
 3528 root      10  -5     0    0    0 S  0.0  0.0 380:59.07 rpciod/7                                                                                                                                                                                                                                                       
 3541 rpcuser   15   0 10172  556  552 S  0.0  0.0   0:00.02 rpc.statd                                                                                                                                                                                                                                                      
 3579 root      15   0 48784  596  400 S  0.0  0.0   6:30.10 rpc.idmapd                                                                                                                                                                                                                                                     
 3608 dbus      18   0 35720  356  352 S  0.0  0.0   0:00.00 dbus-daemon                                                                                                                                                                                                                                                    
 3772 root      15   0 60688  584  468 S  0.0  0.0   1:21.24 sshd                                                                                                                                                                                                                                                           
 3789 root      21   0 21656  504  500 S  0.0  0.0   0:00.00 xinetd                                                                                                                                                                                                                                                         
 3808 ntp       15   0 39380 8944 7364 S  0.0  0.1   0:05.42 ntpd                                                                                                                                                                                                                                                           
 3848 root      10  -5     0    0    0 S  0.0  0.0 142:00.03 nfsiod                                                                                                                                                                                                                                                         
